"Num_Predictors","Best","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
6,"No",1,1,1,1,1,1,0,0,1473,"0 hrs, 55 min, 25 sec",51924.2117364502
5,"No",1,1,1,0,1,1,0,3,1381,"0 hrs, 51 min, 59 sec",51658.4089684604
4,"Yes",1,0,1,0,1,1,3,91,1289,"0 hrs, 49 min, 17 sec",51644.7746801494
3,"No",1,0,1,0,1,0,0,97,1197,"0 hrs, 44 min, 39 sec",51735.023321619
