"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"3","10",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,20,21,3233,"4 hrs, 4 min, 39 sec",143681.523552463
"3","11",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 26 min, 28 sec",140385.749931019
"3","12",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 30 min, 45 sec",140386.02526464
"3","13",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 30 min, 10 sec",140382.442398951
"3","14",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 29 min, 41 sec",140362.437875106
"3","15",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 26 min, 36 sec",140399.720624721
"3","16",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 27 min, 31 sec",140380.198324501
"3","17",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 11 min, 44 sec",140427.226394417
"3","18",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3233,"3 hrs, 24 min, 11 sec",140338.289147818
"3","19",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 22 min, 19 sec",140423.17905895
"3","20",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 25 min, 56 sec",140395.417632867
"3","21",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,3233,"3 hrs, 29 min, 48 sec",142894.604487907
"3","22",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 9 min, 6 sec",140361.922146567
"3","23",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"2 hrs, 38 min, 56 sec",140787.085042487
"4","1",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3132,"3 hrs, 14 min, 6 sec",140340.09236411
"4","2",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3132,"3 hrs, 16 min, 50 sec",140328.127399393
"4","3",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3132,"3 hrs, 14 min, 58 sec",140360.98287841
"4","4",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3132,"3 hrs, 19 min, 40 sec",140327.361744127
"4","5",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3132,"3 hrs, 21 min, 33 sec",140299.010651709
"4","6",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3132,"3 hrs, 11 min, 12 sec",140336.715865069
"4","7",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3132,"3 hrs, 13 min, 46 sec",140306.122369187
"4","8",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 11 min, 39 sec",140313.223690349
"4","9",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 9 min, 40 sec",140308.56762604
"4","10",1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 28 min, 26 sec",140319.321129931
"4","11",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 17 min, 51 sec",140300.967762785
"4","12",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 15 min, 24 sec",140292.789479289
"4","13",1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 18 min, 39 sec",140297.524968627
"4","14",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 14 min, 53 sec",140279.598356678
"4","15",1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 17 min, 10 sec",140362.395070843
"4","16",1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 12 min, 10 sec",140319.03857531
"4","17",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 9 min, 39 sec",140301.406343039
"4","18",1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 16 min, 36 sec",140316.569580314
"4","19",1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3132,"3 hrs, 53 min, 38 sec",140347.799617012
"4","20",1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 17 min, 27 sec",140343.510352523
"4","21",1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 16 min, 2 sec",140338.96923175
"4","22",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"2 hrs, 25 min, 10 sec",140697.63375351
"5","1",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3031,"3 hrs, 13 min, 47 sec",140262.238249178
"5","2",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3031,"3 hrs, 12 min, 6 sec",140311.984916847
"5","3",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3031,"3 hrs, 7 min, 28 sec",140302.810034357
"5","4",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,3031,"3 hrs, 9 min, 57 sec",140262.27323074
"5","5",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3031,"3 hrs, 7 min, 4 sec",140275.154324454
"5","6",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3031,"3 hrs, 4 min, 35 sec",140239.381279579
"5","7",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,3,6,3031,"3 hrs, 4 min, 7 sec",140241.247852988
"5","8",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 6 min, 40 sec",140246.800285027
"5","9",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 6 min, 56 sec",140252.055595634
"5","10",1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 3 min, 21 sec",140242.161654534
"5","11",1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 7 min, 51 sec",140242.829854238
"5","12",1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 8 min, 41 sec",140249.004554277
"5","13",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 10 min, 15 sec",140278.128564733
"5","14",1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 12 min, 28 sec",140250.0041942
"5","15",1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 9 min, 54 sec",140252.306927719
"5","16",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 5 min, 28 sec",140244.075458048
"5","17",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 16 min, 26 sec",140236.541486688
"5","18",1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 7 min, 16 sec",140278.251552604
"5","19",1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 7 min, 26 sec",140293.490020129
"5","20",1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 6 min, 26 sec",140250.530969669
"5","21",0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"2 hrs, 21 min, 6 sec",140669.140300704
"6","1",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2930,"3 hrs, 8 min, 18 sec",140270.764785016
"6","2",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2930,"3 hrs, 3 min, 55 sec",140259.024827934
"6","3",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2930,"3 hrs, 8 min, 55 sec",140267.423089019
"6","4",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2930,"3 hrs, 0 min, 40 sec",140234.130611642
"6","5",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,2930,"3 hrs, 6 min, 23 sec",140222.200833764
"6","6",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2930,"3 hrs, 8 min, 37 sec",140277.410870783
"6","7",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2930,"3 hrs, 3 min, 11 sec",140213.303371516
"6","8",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 4 min, 34 sec",140223.455502644
"6","9",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 6 min, 50 sec",140248.410385034
"6","10",1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 9 min, 15 sec",140199.621706915
"6","11",1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 4 min, 0 sec",140229.4034213
"6","12",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 7 min, 0 sec",140182.477037545
"6","13",1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 8 min, 49 sec",140269.887211277
"6","14",1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 5 min, 49 sec",140223.848661326
"6","15",1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 1 min, 50 sec",140232.184687627
"6","16",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 1 min, 53 sec",140242.184699606
"6","17",1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 11 min, 42 sec",140239.647634652
"6","18",1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 3 min, 58 sec",140273.087186585
"6","19",1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 7 min, 26 sec",140212.089145059
"6","20",0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"2 hrs, 20 min, 48 sec",140649.088340709
"7","1",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2829,"2 hrs, 56 min, 52 sec",140227.646691576
"7","2",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2829,"2 hrs, 59 min, 9 sec",140211.522826188
"7","3",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,2829,"3 hrs, 3 min, 26 sec",140235.290737382
"7","4",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2829,"3 hrs, 6 min, 58 sec",140174.22321081
"7","5",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,2829,"3 hrs, 5 min, 45 sec",140179.224480001
"7","6",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,2829,"3 hrs, 7 min, 2 sec",140265.479336671
