"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"3","10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 1 min, 59 sec",121528.352932375
"3","11",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 0 min, 48 sec",121531.791469572
"3","12",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"5 hrs, 16 min, 14 sec",121460.780976728
"3","13",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 18 min, 42 sec",121507.763776611
"3","14",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 8 min, 22 sec",121496.105172651
"3","15",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 10 min, 54 sec",121509.282333358
"3","16",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 20 min, 54 sec",121504.644623618
"3","17",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 5 min, 43 sec",121510.582508109
"3","18",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 17 min, 25 sec",121490.521736512
"3","19",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 3 min, 24 sec",121495.039898654
"3","20",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 7 min, 56 sec",121518.551735322
"3","21",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"5 hrs, 27 min, 51 sec",121518.43610485
"3","22",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 12 min, 14 sec",121496.840078872
"3","23",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"4 hrs, 15 min, 53 sec",121466.75931889
"4","1",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2224,"4 hrs, 2 min, 28 sec",121491.7059479
"4","2",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2224,"4 hrs, 12 min, 30 sec",121510.709372624
"4","3",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,2224,"3 hrs, 57 min, 12 sec",121478.205968655
"4","4",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2224,"3 hrs, 56 min, 34 sec",121496.029849094
"4","5",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,2224,"3 hrs, 58 min, 23 sec",121490.701005768
"4","6",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,2224,"4 hrs, 5 min, 9 sec",121477.285269236
"4","7",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2224,"4 hrs, 6 min, 53 sec",121504.426785557
"4","8",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 59 min, 5 sec",121454.884337428
"4","9",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 52 min, 57 sec",121484.153478755
"4","10",0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2224,"4 hrs, 6 min, 3 sec",121461.566226641
"4","11",0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2224,"4 hrs, 0 min, 39 sec",121501.633343238
"4","12",0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"4 hrs, 6 min, 32 sec",121450.615147863
"4","13",0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"4 hrs, 1 min, 45 sec",121513.64829439
"4","14",0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 55 min, 53 sec",121504.837257921
"4","15",0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 56 min, 0 sec",121480.160200561
"4","16",0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 56 min, 58 sec",121481.692551787
"4","17",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 57 min, 17 sec",121455.413319423
"4","18",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 56 min, 50 sec",121430.024858574
"4","19",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 53 min, 44 sec",121469.662966337
"4","20",0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 57 min, 45 sec",121470.426242161
"4","21",0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 58 min, 20 sec",121459.801852027
"4","22",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 52 min, 15 sec",121409.327423971
"5","1",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2123,"3 hrs, 45 min, 4 sec",121447.649933147
"5","2",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2123,"3 hrs, 49 min, 25 sec",121432.507181685
"5","3",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,2123,"3 hrs, 47 min, 46 sec",121454.151049827
"5","4",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2123,"3 hrs, 54 min, 1 sec",121412.559462203
"5","5",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,2123,"3 hrs, 45 min, 10 sec",121437.983261796
"5","6",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,2123,"3 hrs, 44 min, 14 sec",121411.049882878
"5","7",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2123,"3 hrs, 48 min, 3 sec",121426.485894066
"5","8",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 50 min, 6 sec",121397.07809549
"5","9",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 49 min, 47 sec",121431.99534737
"5","10",0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 42 min, 45 sec",121421.535198819
"5","11",0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 43 min, 53 sec",121450.105680818
"5","12",0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 47 min, 2 sec",121425.765009911
"5","13",0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 48 min, 36 sec",121417.705367165
