"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","Uncertain",0.807343882253757,0.827947079610479,0.838136269846558,0.848142973944686,0.866924985064459
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","NonInhibitory",0.0172959835058027,0.0219611137476609,0.0251033625003884,0.0284049011373204,0.0365442304659812
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","Inhibitory",0.0812358438379946,0.0961568280467889,0.104267347837171,0.112785004573333,0.131871130251725
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","Other",0.0225808552504514,0.0283080676797555,0.0316268904407504,0.0351081422986491,0.0432031661409428
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.821165066846077,0.837427086342917,0.845147222402444,0.852160888671635,0.863775782249947
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.0149174394276,0.0174655748479726,0.0187958702561891,0.0203147713116921,0.023485744936385
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0817163725786075,0.0905582064414451,0.0960579416453104,0.10160896199907,0.113042463303625
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","Other",0.0316543012149142,0.0368864933796929,0.0399374218396873,0.0431496743012224,0.0498655585789841
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","Uncertain",0.839276876638889,0.860261921613304,0.870097448634765,0.879950116404224,0.897675390741986
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","NonInhibitory",0.00919268326214919,0.0130525699351154,0.0154114757415129,0.0182020421846644,0.0241817343832678
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","Inhibitory",0.0554951746674254,0.0687655429993648,0.0762679567734192,0.0842478620003204,0.101214638815655
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","Other",0.0277469099910939,0.0335599237947057,0.0373206369840716,0.0412972260866777,0.0485913930392314
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.80682454276404,0.823186136297197,0.832704385340488,0.842066389443498,0.860741563839021
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0168841393262526,0.0200909732757104,0.0219073338529673,0.0238843631152597,0.0281031239551935
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0855750762865678,0.0982302478895876,0.105583675310391,0.112881665079896,0.126853645120929
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","Other",0.031501821629673,0.0365440398432423,0.0392368200980565,0.0420122840511205,0.0471298106178532
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.8297038541994,0.849691581553362,0.859071420437038,0.868192662309035,0.882867623353964
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.0129668017754413,0.016710427843688,0.0189442742215829,0.0215524563690687,0.027327788795696
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0678747152614262,0.079358966827773,0.0865124307939071,0.0937710638480348,0.109624005894249
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","Other",0.026365651591422,0.0317950509605348,0.0350476165052274,0.0382893955699591,0.0459130438902577
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.862214839682767,0.878613280582527,0.886277356437426,0.893978773899097,0.908179015468645
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0129513475173217,0.0155110913274931,0.0169022628220318,0.0184803840090595,0.0220314970842271
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0463494967597031,0.0544761907026715,0.0589689023231847,0.0632617178726338,0.0725242137107805
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","Other",0.0292876431384829,0.0346507894750331,0.0376760634953826,0.0409806877116459,0.0472559157482767
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.867764512162977,0.884573687903222,0.891826552607869,0.8997929076618,0.915409011269242
