"Date","Site","Age","LM","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene",1.86627452455305,2.29740029912368,2.5932853262576,2.94756326245509,4.11809814791805
"2018-06-16","Gibson Lakes","Age-1","Metamorphosed",11.7079821471605,13.9817611352824,15.1913208105886,16.4409930059066,18.9157261459126
"2018-06-16","Gibson Lakes","Age-2+","Metamorphosed",6.63881276529392,7.73721906727647,8.31357400660178,8.96242971493528,10.3543603380754
"2018-06-23","Ponds Lake","Age-1","Larvae/Neotene",2.34436186073763,2.94659890291918,3.28623881276068,3.6407375783623,4.65075723242505
"2018-06-23","Ponds Lake","Age-2+","Larvae/Neotene",4.07616542386735,5.59169909703779,6.615335233373,7.70340662159813,10.2663396214414
"2018-06-23","Ponds Lake","Age-2+","Metamorphosed",5.30485108653483,6.37431742187355,7.03625747830876,7.84009623428121,10.4219942533165
"2018-06-30","Gibson Lakes","Age-1","Metamorphosed",14.579686306195,18.5638498639431,20.6975301831478,23.0232136032165,28.0370198731957
"2018-06-30","Gibson Lakes","Age-2+","Metamorphosed",4.80904188373431,5.69193994909968,6.17079352508958,6.74023775511579,8.04060672200785
"2018-07-07","Ponds Lake","Age-1","Larvae/Neotene",3.46191430567082,4.62470514886428,5.28518440162633,6.0294611143236,7.82124326282077
"2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene",9.10601073476019,13.4761336347334,15.9630361575092,18.8874863531261,24.9415561037655
"2018-07-07","Ponds Lake","Age-2+","Metamorphosed",6.12590706503996,7.37679177571768,8.18903033310185,9.21340629254115,12.0842416200533
"2018-07-14","Gibson Lakes","Age-2+","Metamorphosed",2.74914693100851,3.25889570783062,3.59045164164037,3.93817684350536,4.7479225921102
"2018-07-28","Ponds Lake","Age-1","Larvae/Neotene",5.76420678045495,8.05520404160113,9.42182543714139,10.8835746210666,14.3076219968368
"2018-07-28","Ponds Lake","Age-2+","Metamorphosed",4.65643901262074,5.70397362907553,6.38600081265166,7.19917032952176,9.78679099665079
"2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene",4.03909671794796,5.51920163950364,6.51431953884728,7.72069791995993,11.5677779450936
"2018-08-11","Ponds Lake","Age-0","Larvae/Neotene",2.61066793911432,3.35208874821451,3.76700575413531,4.23396642409421,5.48457690862025
"2018-08-11","Ponds Lake","Age-1","Larvae/Neotene",6.69349404626497,9.45851306828601,10.9433913513911,12.6830764467154,16.5254682814281
"2018-08-11","Ponds Lake","Age-2+","Metamorphosed",2.80721314733329,3.5386291123427,4.05296065586848,4.74233579273321,6.72455682073368
"2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene",8.84937112906856,12.039832085346,13.7996502540418,15.6650161638112,20.7592088266828
"2018-08-25","Ponds Lake","Age-0","Larvae/Neotene",2.98356712557769,3.90606949825362,4.41101581590064,5.00597856991734,6.54825843883826
"2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene",9.67400199565731,12.2904368264164,14.1243156127006,16.4308855486795,21.9527080654834
"2018-09-08","Ponds Lake","Age-0","Larvae/Neotene",3.43573607269153,4.56467076372532,5.19882012344203,5.94193162473886,7.8014655596661
"2018-09-15","Gibson Lakes","Age-0","Metamorphosed",13.0999666260329,15.8100795268846,17.5690139627106,19.4985607910797,23.6783506505423
"2018-09-22","Ponds Lake","Age-0","Larvae/Neotene",3.94900995402279,5.3577568993461,6.20579505977416,7.14600569512827,9.54101224677768
"2018-09-22","Ponds Lake","Age-1","Larvae/Neotene",3.63289019138874,5.11801235403118,6.04554086034199,7.20137173359283,10.4378224868817
