"","2.5%","25%","50%","75%","97.5%"
"PropInhib[4]",0.25054406732361,0.374391554849525,0.46209159493039,0.56286235505034,0.753272484773415
"PropInhib[5]",0.327934382249302,0.490546756954018,0.589747123046812,0.683478308975057,0.837277728685411
"PropInhib[6]",0.252231135699237,0.364907480712421,0.443084910361434,0.535993291606178,0.732269500629257
"PropInhib[7]",0.105160854520006,0.183981918214255,0.238925240849927,0.310487078192024,0.507242021393124
"PropInhib[8]",0.245591869044789,0.384343571941776,0.491889680775189,0.618369906390709,0.818486278264456
"PropInhib[9]",0.208124300872603,0.305488268564159,0.373456990200199,0.457778594722443,0.657236475846143
"PropInhib[10]",0.312404381171719,0.452480197159503,0.546034386066399,0.645481678197861,0.818546386067088
"PropInhib[11]",0.290121299746641,0.415596121305591,0.500068819058342,0.593934925232724,0.769666083005573
"PropInhib[12]",0.108691144825496,0.19031279457915,0.246820513275372,0.320754877833115,0.518397394574059
"PropInhib[13]",0.24382775681624,0.354304171831807,0.431460599513247,0.522855806458763,0.713009853240959
"PropInhib[14]",0.246165606946295,0.352149753134008,0.424676903320716,0.509018302482463,0.689680188213017
"PropInhib[15]",0.265669926279649,0.39231395810978,0.477758151915576,0.570558198887239,0.749997618777539
"PropInhib[16]",0.278449906133995,0.405577784301373,0.495451993511159,0.594002511168446,0.775206546723774
"PropInhib[17]",0.145794022330394,0.229030306418951,0.284637329459098,0.353672702672056,0.533539488232623
"PropInhib[18]",0.24651552837656,0.358484874852733,0.437589163821069,0.533861442325397,0.732781589698252
"PropInhib[19]",0.281475988791241,0.40201731550885,0.482523625977606,0.572800501764341,0.754788696408069
"PropInhib[20]",0.282452843935225,0.41228714355223,0.505034677893902,0.606070357671227,0.785689260903751
"PropInhib[21]",0.140179022636494,0.224171038848105,0.28137466457883,0.353923515832398,0.541735860599662
"PropInhib[22]",0.276933669594214,0.408826917103302,0.497147397339887,0.593900997924692,0.774350483739
"PropInhib[23]",0.281298269672686,0.414927208855594,0.503063589277071,0.598126264757963,0.77602283569629
"PropInhib[24]",0.164182874460203,0.261650299566583,0.331913337275064,0.420597988510707,0.635139021426987
"PropInhib[25]",0.234110203107116,0.345182654622272,0.424927220220915,0.519665491758933,0.712863097863475
"PropInhib[26]",0.254255271478327,0.373598319733539,0.460063415461391,0.561872979598149,0.757219546722314
"PropInhib[27]",0.252573590157656,0.373245223541635,0.454509931105039,0.547001461056967,0.731802585797066
"PropInhib[28]",0.276068501579052,0.409441551831001,0.499817362545425,0.601924123901655,0.788113242217565
"PropInhib[29]",0.304456758591863,0.443823593966652,0.536257414903005,0.632871898816904,0.803039081122167
"PropInhib[30]",0.284914390277106,0.416696486958891,0.514243469632449,0.622196577616394,0.804988621035972
"PropInhib[31]",0.270253502172073,0.387436119414415,0.466952894402889,0.557159472483203,0.737582706627142
"PropInhib[32]",0.324987811915362,0.470290255671386,0.560458101697499,0.652776334557009,0.815826001443507
"PropInhib[33]",0.0571296525200489,0.111680770521285,0.152583422387501,0.211039704968433,0.427621300777672
"PropInhib[34]",0.0486025350665494,0.0963321407979568,0.130370704625305,0.175482444034734,0.32728797421754
"PropInhib[35]",0.0428510456365631,0.0856364303351099,0.115744529224627,0.15409995266948,0.275787793005026
"PropInhib[36]",0.0367760620848522,0.0741005167148683,0.100307430475456,0.13352524446987,0.238805412760323
"PropInhib[37]",0.0653176954597252,0.126639640269001,0.172646392722664,0.240099508526766,0.466261006563367
"PropInhib[38]",0.0756467779904095,0.142015778079764,0.18785068585304,0.247949007565216,0.421863300659261
"PropInhib[39]",0.0421389154213911,0.0845097765592148,0.114367754339432,0.15273282087923,0.276758897743093
"PropInhib[40]",0.0505106712074777,0.0994841583396327,0.134463815330442,0.181737706844065,0.346551655017643
