"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Acidobacteriota;Subgroup_18;_56",0.4986
"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;_9",0.498
"Bacteria;Actinobacteriota;Acidimicrobiia;_12",0.502
"Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus_Contendobacter;_1",0.5006
"Bacteria;Acidobacteriota;Subgroup_22;_6",0.4992
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;_7",0.5004
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;Terrimicrobium;_10",0.4948
"Bacteria;_67",0.505
"Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;_11",0.4948
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_51",0.507
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_31",0.504
"Bacteria;Acidobacteriota;Subgroup_18;_57",0.4994
"Bacteria;Elusimicrobiota;Lineage_IIa;_4",0.4958
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;_4",0.5078
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_85",0.5042
"Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;_7",0.5064
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_93",0.513
"Bacteria;Patescibacteria;Parcubacteria;_30",0.4866
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_23",0.5126
"Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;_38",0.5004
"Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_or;Acidobacteriae_fa;Paludibaculum;_4",0.4986
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_6",0.4818
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_48",0.4884
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_33",0.495
"Bacteria;MBNT15;_19",0.5068
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_32",0.493
"Bacteria;NB1-j;_4",0.4918
"Bacteria;Chloroflexi;Dehalococcoidia;GIF3;_6",0.4902
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_75",0.5038
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_22",0.4972
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;_4",0.4898
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;_11",0.5054
"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;_1",0.4996
"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;LWQ8;_5",0.5048
"Bacteria;Latescibacterota;_52",0.4996
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;_11",0.4968
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_38",0.5016
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_56",0.5076
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;_5",0.506
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;_7",0.5092
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;_10",0.5058
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_20",0.503
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;_3",0.4944
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_38",0.4988
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_57",0.4974
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;_35",0.503
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;_18",0.4974
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Aquaspirillaceae;Aquaspirillum;putridiconchylium;_1",0.4918
"Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloronema;_2",0.4938
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisoma;_1",0.5038
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;_22",0.4882
"Bacteria;Armatimonadota;_6",0.5072
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_21",0.4982
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_182",0.5088
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseococcus;_3",0.4992
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_183",0.5094
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_37",0.512
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_22",0.5004
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;_3",0.5008
"Bacteria;Planctomycetota;Phycisphaerae;DG-20;_4",0.4956
"Bacteria;Patescibacteria;Parcubacteria;Candidatus_Nomurabacteria;_5",0.5132
"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;WWH38;_1",0.4776
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;LD29;_8",0.5022
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;_5",0.5026
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;IMCC26134;_4",0.4926
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;_3",0.5042
"Bacteria;Proteobacteria;Alphaproteobacteria;Zavarziniales;Zavarziniaceae;_1",0.5138
"Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;WX65;_3",0.5016
"Bacteria;Armatimonadota;_7",0.4986
"Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;_24",0.5068
"Bacteria;Sva0485;_53",0.4948
"Bacteria;_68",0.5012
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir1_lineage;_14",0.4974
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;_12",0.4878
"Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;_6",0.4978
"Bacteria;Chloroflexi;Dehalococcoidia;RBG-13-46-9;_10",0.4886
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_5;_2",0.501
"Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;_5",0.4934
"Bacteria;Cyanobacteria;Sericytochromatia;_1",0.489
"Bacteria;Firmicutes;Clostridia;Clostridia_or;Hungateiclostridiaceae;_6",0.499
"Bacteria;Armatimonadota;DG-56;_2",0.5018
"Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;_11",0.5026
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_184",0.5022
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_54",0.4864
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_94",0.5086
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;_4",0.5048
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;_3",0.5138
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;_6",0.5032
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_37",0.5016
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_49",0.5058
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella;_12",0.4986
"Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales;Endomicrobiaceae;Endomicrobium;_1",0.4964
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;_2",0.4888
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;_2",0.5072
"Bacteria;_69",0.4986
"Bacteria;Armatimonadota;_8",0.5054
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisphaera;_3",0.4998
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;_10",0.5058
"Bacteria;Actinobacteriota;Acidimicrobiia;_13",0.4906
"Bacteria;Armatimonadota;DG-56;_3",0.5084
"Bacteria;Proteobacteria;Alphaproteobacteria;_27",0.5058
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_185",0.494
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;GOUTA6;_4",0.496
"Bacteria;Planctomycetota;_9",0.4996
"Bacteria;Chloroflexi;Dehalococcoidia;GIF9;_15",0.495
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_27",0.4924
"Bacteria;Bacteroidota;SJA-28;_6",0.499
"Bacteria;NB1-j;_5",0.4972
"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;_3",0.4964
"Bacteria;Acidobacteriota;_5",0.4952
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;_11",0.4914
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;_11",0.5116
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_39",0.5042
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovarius;_2",0.5072
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SH3-11;_2",0.494
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_4",0.507
"Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;_12",0.4898
"Bacteria;Latescibacterota;_53",0.4978
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_186",0.497
"Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;rosea;_1",0.5028
"Bacteria;Actinobacteriota;_3",0.4996
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_9",0.5016
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_55",0.492
"Bacteria;Proteobacteria;Gammaproteobacteria;_14",0.5142
"Bacteria;_70",0.5054
"Bacteria;NB1-j;_6",0.5022
"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Anabaena_XPORK15F;_1",0.4962
"Bacteria;Firmicutes;Clostridia;Clostridia_or;Hungateiclostridiaceae;Ruminiclostridium;_2",0.5016
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;_7",0.5002
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_58",0.496
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_49",0.5092
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;_5",0.51
"Bacteria;Acidobacteriota;Subgroup_18;_58",0.4994
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_38",0.5014
"Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Fonticella;_7",0.5006
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_135",0.4948
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;_14",0.5002
"Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus_Chloroploca;_1",0.5038
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_28",0.5082
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_187",0.5008
"Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;_5",0.4998
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;_36",0.498
"Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;_21",0.512
"Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales;Endomicrobiaceae;Endomicrobium;_2",0.5094
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_40",0.4966
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_188",0.5044
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;_9",0.4936
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;_20",0.499
"Bacteria;Armatimonadota;DG-56;_4",0.506
"Bacteria;TA06;_12",0.4994
"Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;_13",0.5022
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_189",0.498
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_23",0.4994
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_56",0.5098
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_22",0.5024
"Bacteria;Proteobacteria;Gammaproteobacteria;_15",0.5166
"Bacteria;Latescibacterota;_54",0.5066
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_10",0.4926
"Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;G12-WMSP1;_1",0.5074
"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;_3",0.4966
"Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;_7",0.4828
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;_7",0.5092
"Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;_33",0.5002
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_52",0.4996
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_41",0.5086
"Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;_23",0.4872
"Bacteria;Patescibacteria;Parcubacteria;_32",0.5056
"Bacteria;Chloroflexi;Anaerolineae;MSB-5E12;_1",0.494
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;_12",0.5052
"Bacteria;NB1-j;_7",0.5054
"Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;_2",0.4934
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Georgfuchsia;toluolica;_1",0.4964
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;_13",0.5056
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;oc32;_1",0.5006
"Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;_14",0.492
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;_3",8e-04
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;Ellin516;_20",0.4906
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Xiphinematobacteraceae;Candidatus_Xiphinematobacter;_7",0.5022
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;_10",0.4988
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;_12",0.5054
"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;_2",0.4998
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;_18",0.4974
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;_10",0.4958
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus;_24",0.4946
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_50",0.4974
"Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;_25",0.5024
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_20",0.4968
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;_7",0.508
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Candidatus_Accumulibacter;_2",0.4878
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_59",0.512
"Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca;_17",0.5044
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;_2",0.492
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_14",0.5024
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_95",0.4914
"Bacteria;_71",0.5006
"Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;_21",0.4894
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;_8",0.4974
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_32",0.5074
"Bacteria;WOR-1;_10",0.5014
"Bacteria;Latescibacterota;_55",0.5106
"Bacteria;Chloroflexi;Anaerolineae;_15",0.5054
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_11",0.4888
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;_20",0.5066
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_53",0.489
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;_1",0.4998
"Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;_26",0.4912
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;_5",0.4894
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;_12",0.5024
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Fimbriiglobus;_3",0.4902
"Bacteria;_72",0.505
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_60",0.507
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_137",0.4994
"Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;_1",0.5008
"Bacteria;Acidobacteriota;Subgroup_18;_59",0.5026
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_76",0.49
"Bacteria;Chloroflexi;_17",0.4978
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;_4",0.487
"Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58;_2",0.5022
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_19",0.5
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_61",0.498
"Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;_38",0.512
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_42",0.4884
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_33",0.4996
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;_3",0.489
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;_10",0.5122
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola;_2",0.4894
"Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;_23",0.5034
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_21",0.5066
"Bacteria;Chloroflexi;KD4-96;_69",0.4988
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;_7",0.5024
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_190",0.4948
"Bacteria;Patescibacteria;Parcubacteria;_33",0.4962
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;_3",0.4872
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Candidatus_Accumulibacter;_3",0.497
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;_14",0.5024
"Bacteria;Firmicutes;Clostridia;Clostridia_or;Hungateiclostridiaceae;_7",0.4976
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_29",0.5008
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;_8",0.4896
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_57",0.5032
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_50",0.5072
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;_13",0.5
"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Cyanobacteriaceae;Geitlerinema_LD9;_1",0.5004
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes_BD2-2;_5",0.4976
"Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;_11",0.5008
"Bacteria;Nitrospinota;P9X2b3D02;_8",0.4994
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_33",0.5168
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_138",0.4876
"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;_6",0.4926
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_191",0.5082
"Bacteria;Spirochaetota;Brevinematia;Brevinematales;Brevinemataceae;Brevinema;_2",0.4808
"Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;_8",0.5036
"Bacteria;Cyanobacteria;Cyanobacteriia;_4",0.484
"Bacteria;TA06;_13",0.498
"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;_1",0.5046
"Bacteria;WS1;_4",0.501
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_30",0.5096
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;_14",0.5022
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_34",0.502
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_51",0.4956
"Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales;Endomicrobiaceae;Endomicrobium;_3",0.4928
"Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_12;_1",0.4892
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;S-BQ2-57_soil_group;_28",0.4902
"Bacteria;Verrucomicrobiota;_1",0.5008
"Bacteria;Firmicutes;Clostridia;Oscillospirales;_3",0.503
"Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;_22",0.498
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_51",0.494
"Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;_4",0.5068
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_7",0.4966
"Bacteria;Actinobacteriota;Actinobacteria;PeM15;_14",0.504
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_27",0.5038
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Lacihabitans;soyangensis;_1",0.51
"Bacteria;Verrucomicrobiota;_2",0.4936
"Bacteria;Chloroflexi;Chloroflexia;Elev-1554;_2",0.4978
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;_5",0.4902
"Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Pseudarcobacter;_2",0.4966
"Bacteria;Spirochaetota;V2072-189E03;_1",0.5056
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;_21",0.499
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_39",0.5016
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_38",0.4886
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;S-BQ2-57_soil_group;_29",0.4996
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_15",0.5082
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_34",0.5028
"Bacteria;_74",0.514
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_16",0.5
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18_freshwater_group;_18",0.511
"Bacteria;_75",0.4928
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_39",0.4928
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_24",0.4884
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_40",0.4898
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes;_9",0.4854
"Bacteria;_76",0.506
"Bacteria;Planctomycetota;_10",0.4904
"Bacteria;Cyanobacteria;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena_PCC-7429;frigida;_2",0.4942
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_89",0.491
"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;_5",0.5042
"Bacteria;Patescibacteria;Gracilibacteria;_5",0.5
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;Ellin516;_21",0.5016
