"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"3","10",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 14 sec",5002.76523675022
"3","11",1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 1 sec",5002.96673922436
"3","12",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 6 sec",5002.34946653561
"3","13",1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 7 sec",5002.19690740271
"3","14",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 5 sec",5001.40846544198
"3","15",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 2 sec",5002.06676161642
"3","16",1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 6 sec",5001.62034418437
"3","17",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 4 sec",5003.14326068917
"3","18",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 7 min, 56 sec",5007.18639312373
"3","19",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 9 sec",5002.22249555824
"3","20",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 13 sec",5001.10935574331
"3","21",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 17 sec",4998.54642451792
"3","22",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 5 sec",5008.09047381863
"3","23",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,71,"0 hrs, 7 min, 46 sec",5004.1997277562
"4","1",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,94,"0 hrs, 8 min, 12 sec",5001.23181089192
"4","2",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,94,"0 hrs, 7 min, 55 sec",5000.76316784193
"4","3",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,94,"0 hrs, 7 min, 54 sec",5000.07548096693
"4","4",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,94,"0 hrs, 7 min, 58 sec",5000.86630385761
"4","5",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,94,"0 hrs, 7 min, 58 sec",5001.56060908281
"4","6",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 1 sec",4999.41599359109
"4","7",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 59 sec",5002.38466447337
"4","8",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 6 sec",5000.20312814347
"4","9",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 13 sec",4999.47729882019
"4","10",1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 5 sec",5000.13065560491
"4","11",1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 52 sec",5001.74761528748
"4","12",1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 0 sec",5002.11406336672
"4","13",1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 14 sec",5000.49315434172
"4","14",1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 40 sec",5002.80844295975
"4","15",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 56 sec",4998.81109399603
"4","16",1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 14 sec",5002.0989778832
"4","17",1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 58 sec",5002.31934786995
"4","18",1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 0 sec",5007.72725779316
"4","19",1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 54 sec",5001.47081469592
"4","20",1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 7 min, 49 sec",4999.36046721858
"4","21",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,94,"0 hrs, 8 min, 6 sec",5006.57129682125
"4","22",0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,68,"0 hrs, 7 min, 43 sec",5000.97638932581
"End","Best",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,97,"0 hrs, 8 min, 17 sec",4998.54642451792
