"SampleID","ImproperCell","Quantity","AmtOfProper","Ratio"
"G8_1S","D4",10,0,Inf
"G8_3S","A9",4,0,Inf
"G8_4S","C6",54,0,Inf
"G8_4S","F3",11,0,Inf
"G8_4W","B3",3,1,3
"G8_4W","H4",2,1,2
