"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Pezoloma;ericae",1,1,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;infirmominiatum",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales",3,1,1,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae",1,1,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia;hydrangeae-macrophyllae",1,1,0,0,0,60
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Oculimacula;yallundae",53,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Helgardia;anguioides",59,57,50,0,0,60
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella",0,0,0,0,0,60
"Fungi;Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium;japonicum",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;leptinellae",0,0,0,0,0,60
"Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;muriae",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Crocicreas;cyathoideum",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Heterosphaeria;veratri",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis",1,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Juncaceicola",1,1,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;terrea",31,1,1,0,0,60
"Fungi;Basidiomycota;Tremellomycetes",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;wieringae",1,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Ascochyta",0,0,0,0,0,60
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;rishikesha",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Melanodiplodia;tianschanica",0,0,0,0,0,60
"Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Phacidiales;Phacidiaceae;Phacidium;pseudophacidioides",0,0,0,0,0,60
"Fungi;Rozellomycota",0,0,0,0,0,60
"Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma",0,0,0,0,0,60
"Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Capnocheirides",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Holtermanniales;Holtermanniales_fam_Incertae_sedis;Holtermanniella;wattica",1,1,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Laetinaevia",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Xenomeris",0,0,0,0,0,60
"Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora",1,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae",1,1,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Phacidiales;Phacidiaceae;Allantophomopsis;cytisporea",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae",0,0,0,0,0,60
"Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Buckleyzymaceae;Buckleyzyma;aurantiaca",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Elasticomyces;elasticus",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Blumeria;graminis",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Herpotrichia;juniperi",60,60,60,3,0,60
"Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;decumbens",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Stagonospora;trichophoricola",1,1,0,0,0,60
"Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;flavus",0,0,0,0,0,60
"Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Hyphodontia;pallidula",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Tricladium;alaskense",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales",59,57,2,0,0,60
"Other",0,0,0,0,0,60
