"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Pezoloma;ericae",59,58,15,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae",38,12,1,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;infirmominiatum",4,0,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales",45,11,4,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae",68,59,56,1,0,69
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia;hydrangeae-macrophyllae",68,16,6,0,0,69
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales",68,66,23,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria",69,64,16,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Oculimacula;yallundae",69,59,9,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Helgardia;anguioides",69,68,48,9,6,69
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella",4,0,0,0,0,69
"Fungi;Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium;japonicum",64,33,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;leptinellae",10,1,0,0,0,69
"Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;muriae",60,16,0,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Crocicreas;cyathoideum",68,52,3,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Heterosphaeria;veratri",68,63,13,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis",67,34,4,2,2,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Juncaceicola",68,59,22,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;terrea",69,68,60,2,1,69
"Fungi;Basidiomycota;Tremellomycetes",66,30,2,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;wieringae",67,18,0,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma",66,18,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Ascochyta",68,68,27,0,0,69
"Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;rishikesha",68,68,6,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Melanodiplodia;tianschanica",25,5,1,0,0,69
"Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales",68,60,2,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Phacidiales;Phacidiaceae;Phacidium;pseudophacidioides",68,58,3,0,0,69
"Fungi;Rozellomycota",59,46,3,0,0,69
"Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma",4,1,0,0,0,69
"Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina",61,15,1,0,0,69
